pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
17.4127	5.40058	5.09551	0.794329	0.359651	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.0790415	0.111016	0.797256	0.52503	0.889846	
17.5767	5.57833	5.08079	0.816689	0.366924	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.0789843	0.111255	0.791825	0.521426	4.20306	
17.7628	5.73293	5.07383	0.823926	0.357853	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.0792241	0.111082	0.786636	0.517845	0.710538	
17.9135	5.93579	5.06374	0.85438	0.372871	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.0792876	0.111116	0.781457	0.51436	2.994	
18.0821	6.13363	5.06871	0.873499	0.373007	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0795163	0.111253	0.776424	0.510946	0.162207	
18.2319	6.34219	5.0669	0.899656	0.381127	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.0796875	0.111611	0.771456	0.507626	1.15097	
18.3545	6.57706	5.06795	0.934342	0.394267	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.0795211	0.112638	0.766496	0.504469	1.49648	
18.4883	6.79331	5.06336	0.96284	0.404398	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.0792594	0.113962	0.761598	0.501432	1.07222	
18.6333	6.9615	5.04238	0.973186	0.397283	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.0790574	0.114575	0.756849	0.498329	2.5273	
18.7758	7.17126	5.0441	0.992051	0.396056	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.0789442	0.115235	0.752225	0.495277	0.0572167	
18.9606	7.33099	5.03708	0.988793	0.37711	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	0.0796702	0.115169	0.748003	0.492211	3.20895	
19.0547	7.55448	5.01936	1.02592	0.398204	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0.0798655	0.11525	0.743649	0.489216	6.36463	
19.1495	7.79919	5.02176	1.05991	0.40986	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.0797515	0.115763	0.739275	0.486322	1.32353	
19.2652	8.01719	5.01755	1.08222	0.412542	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.0796557	0.11628	0.734989	0.483479	0.475856	
19.3477	8.23619	5.00173	1.11056	0.419893	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0.0793354	0.116778	0.730731	0.480692	2.91516	
19.4415	8.45875	4.99445	1.13461	0.422566	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0.0789643	0.117275	0.726544	0.477953	2.85939	
19.5358	8.63421	4.95847	1.1488	0.418902	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	0.0785821	0.117145	0.722485	0.475206	7.15701	
19.6212	8.86047	4.95087	1.17616	0.427284	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.0781782	0.117019	0.718467	0.472509	1.475	
19.7743	9.03957	4.93987	1.17286	0.407465	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	0.0783321	0.116514	0.714856	0.469854	4.27849	
19.8433	9.27657	4.93433	1.20535	0.421556	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.0783373	0.116059	0.711186	0.467237	1.72292	
19.9705	9.48664	4.93397	1.21171	0.409384	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	0.0791003	0.115504	0.707907	0.464673	1.9555	
20.0148	9.72699	4.92336	1.25077	0.430972	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0.0794346	0.114988	0.704422	0.462141	4.30553	
20.1042	9.94936	4.91964	1.2665	0.426374	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.0801738	0.114431	0.701159	0.459653	0.254628	
20.1579	10.1983	4.92409	1.29427	0.431122	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	0.080826	0.113935	0.697914	0.457201	6.49433	
20.2109	10.4438	4.92648	1.3202	0.434591	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.0814847	0.113487	0.694717	0.454791	0.149484	
20.2284	10.6892	4.91782	1.36004	0.45502	19.6774	10.803	20.1271	10.6247	0.845742	4.77652	0.0817153	0.113086	0.691342	0.452429	4.4081	
20.2893	10.9371	4.92563	1.37999	0.452254	20.371	11.0109	20.1663	10.864	0.722256	4.7934	0.0822466	0.112746	0.688106	0.450112	0.606306	
20.3152	11.1899	4.92891	1.4095	0.458124	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	0.0826582	0.112503	0.684865	0.447847	4.72655	
20.3498	11.4231	4.92112	1.43201	0.458272	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0831737	0.112209	0.681718	0.445615	0.335598	
20.3059	11.6775	4.91087	1.48898	0.49672	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	0.0829687	0.112021	0.678323	0.443434	13.9778	
20.3739	11.9119	4.91211	1.49763	0.483415	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0.0833211	0.11178	0.675098	0.441286	3.13477	
20.3885	12.1518	4.90928	1.51747	0.476227	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	0.0837561	0.111532	0.671987	0.439174	3.2327	
20.3815	12.4133	4.91882	1.54754	0.480712	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.0840676	0.111447	0.668876	0.437122	0.546767	
20.3365	12.6585	4.91115	1.59448	0.507782	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	0.0839535	0.111399	0.665667	0.435096	5.31571	
20.3586	12.8959	4.90843	1.61001	0.499968	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0.0841748	0.111318	0.662558	0.433105	1.05792	
20.3405	13.1352	4.90348	1.6397	0.507182	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	0.0843855	0.111228	0.65947	0.431142	2.62477	
20.3048	13.357	4.88592	1.66907	0.511611	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0.0844661	0.110999	0.656412	0.42918	2.3826	
20.2602	13.5964	4.88269	1.70064	0.517327	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0.0844121	0.110776	0.653378	0.427243	1.69937	
20.2417	13.8414	4.88565	1.7216	0.513173	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.0845342	0.110607	0.650406	0.42535	0.475434	
20.1822	14.0762	4.88095	1.75739	0.525699	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.0844989	0.110425	0.647446	0.423469	1.75068	
20.1311	14.3183	4.88319	1.78451	0.526212	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.0844507	0.110295	0.644526	0.42162	0.0233284	
20.0554	14.5505	4.87989	1.81864	0.534143	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0.0842588	0.110154	0.641644	0.419782	1.95543	
19.955	14.7891	4.88414	1.85658	0.54284	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.0839087	0.110063	0.638832	0.417956	1.64511	
19.8806	15.013	4.87726	1.88295	0.540969	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	0.0835518	0.109924	0.636054	0.416148	3.54446	
19.8417	15.2356	4.86733	1.89859	0.532562	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	0.0833234	0.109745	0.633284	0.414373	1.78944	
19.7137	15.4542	4.86696	1.95426	0.570379	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	0.0829642	0.109519	0.630686	0.412584	10.0628	
19.6724	15.6597	4.84606	1.96813	0.560198	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	0.082736	0.109195	0.628023	0.41082	3.72453	
19.5686	15.8735	4.84143	1.99992	0.564782	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	0.0824622	0.108841	0.625414	0.409075	1.77975	
19.4674	16.0822	4.83387	2.02812	0.565293	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0821838	0.108455	0.622839	0.407354	0.268083	
19.3562	16.294	4.83096	2.0542	0.560863	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0.081888	0.108061	0.620289	0.405654	1.68264	
19.242	16.4783	4.81094	2.08436	0.563996	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.0815864	0.107618	0.617772	0.403988	2.15044	
19.1161	16.6811	4.80911	2.11612	0.568722	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.0812677	0.107177	0.615306	0.402356	0.542219	
18.9911	16.8793	4.80457	2.14441	0.568933	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0809486	0.106741	0.61287	0.400753	0.0906048	
18.8354	17.0741	4.81079	2.1903	0.593141	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	0.0806292	0.106316	0.610602	0.399252	7.22238	
18.6799	17.2818	4.82413	2.22181	0.593647	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	0.0803644	0.105891	0.608413	0.397782	0.745522	
18.5632	17.4844	4.81862	2.23058	0.566644	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	0.0800521	0.10547	0.606089	0.396246	5.26941	
18.3625	17.6573	4.82512	2.27431	0.578351	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	0.0799669	0.105064	0.603916	0.394818	4.14757	
18.2203	17.8458	4.8209	2.29089	0.561606	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0.079837	0.104663	0.601674	0.393352	2.71538	
18.0827	18.0279	4.81423	2.31235	0.55686	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.0796214	0.104267	0.599414	0.391886	0.864702	
17.9059	18.1892	4.81122	2.3484	0.566678	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	0.0794964	0.103912	0.597219	0.390503	1.90933	
17.7599	18.3414	4.7906	2.37325	0.565386	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0.0792803	0.103639	0.595007	0.389157	1.81815	
17.6186	18.5246	4.78698	2.38675	0.550451	18.8558	18.1365	17.6334	18.5697	-3.43247	3.35973	0.0789898	0.10332	0.592768	0.387742	6.91975	
17.4334	18.688	4.79189	2.416	0.551474	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.0787247	0.103013	0.590559	0.386353	0.137716	
17.2493	18.8352	4.78791	2.44653	0.554719	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0.0784784	0.102762	0.588378	0.385009	1.80614	
17.0795	18.9738	4.77331	2.47288	0.554609	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.0782038	0.102603	0.586208	0.383697	0.871675	
16.9105	19.1413	4.77464	2.48854	0.541661	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	0.0779158	0.102362	0.584049	0.382326	3.20998	
16.6957	19.2517	4.76822	2.52714	0.551161	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	0.0776591	0.102324	0.581921	0.381056	2.84867	
