pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
16.542	4.55382	5.68492	0.674645	0.33864	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.0716681	0.118968	1.20272	1.22925	0.535082	
16.6877	4.70243	5.32919	0.67895	0.279358	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.0717142	0.118947	1.19475	1.22006	0.528943	
16.8568	4.89068	5.01801	0.768453	0.702002	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.0715372	0.119278	1.18595	1.21116	0.374152	
16.9779	5.1738	5.45876	0.979182	1.4431	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.0710174	0.122266	1.17919	1.20965	0.240692	
17.1692	5.29285	5.29806	0.825447	0.324958	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.0705213	0.123692	1.17077	1.2019	1.87247	
17.312	5.45165	5.02732	0.793809	0.116971	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.0700628	0.124676	1.16254	1.19341	0.0650822	
17.4956	5.52112	4.62198	0.626284	-0.72502	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.0695785	0.124081	1.15533	1.19015	2.40361	
17.7025	5.61868	4.70061	0.506723	-1.05164	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.069219	0.123243	1.15153	1.1937	0.469068	
17.8812	5.75667	4.4734	0.520035	-0.723831	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.0690103	0.122644	1.14654	1.19925	0.53754	
18.0381	6.07618	5.1573	0.858995	0.861361	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0688004	0.122044	1.13928	1.19125	1.604	
18.1911	6.31659	5.64686	0.973239	1.13041	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.0685943	0.121896	1.13191	1.18663	0.865305	
18.2473	6.64412	6.04128	1.21871	1.89504	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.0683113	0.124172	1.12861	1.19477	0.215733	
18.3754	6.91573	6.48079	1.19686	1.16725	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.068182	0.128344	1.12258	1.20858	0.20481	
18.5632	6.86542	4.06595	0.918147	-0.113297	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.0677563	0.127702	1.11586	1.20478	2.05118	
18.7113	7.08774	5.16042	0.909986	-0.243475	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.0673337	0.12718	1.11044	1.19726	0.5429	
18.9742	7.16725	5.02503	0.619662	-1.56846	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	0.0686573	0.126535	1.11695	1.19837	2.17848	
19.0757	7.29545	4.17536	0.633147	-1.12213	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0.0694153	0.126673	1.11484	1.20728	2.96021	
19.0605	7.76298	4.76106	1.30301	2.02203	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.0690281	0.126548	1.11437	1.20038	2.6037	
19.2059	7.93251	5.34877	1.07753	0.250176	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.0686284	0.126015	1.10821	1.19383	0.766687	
19.2488	8.16055	5.10692	1.11888	0.29169	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0.0684745	0.125551	1.10173	1.18696	0.936541	
19.3337	8.36535	5.31622	1.08744	-0.116617	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0.0685226	0.124989	1.09641	1.18035	1.63502	
19.4469	8.40143	4.14515	0.864648	-1.08604	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	0.0684047	0.125018	1.09335	1.18236	1.54929	
19.5776	8.53528	4.03906	0.780233	-1.22204	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.0680452	0.126492	1.09318	1.18949	0.119689	
19.7773	8.76926	4.90881	0.775438	-0.909074	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	0.0683896	0.127803	1.10414	1.18896	4.26095	
19.8733	8.96217	4.27346	0.883464	-0.14209	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.0689686	0.129811	1.10464	1.1904	1.06803	
19.989	9.31685	5.41433	1.14537	0.955279	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	0.0703497	0.129789	1.10165	1.18421	3.53097	
20.0167	9.56575	5.31081	1.31512	1.4625	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0.0708571	0.129611	1.09565	1.17873	1.26471	
20.0731	9.85133	5.63987	1.38482	1.43527	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.0712392	0.129069	1.08988	1.17556	0.687579	
20.0679	10.2404	7.12778	1.49183	1.13664	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	0.0709656	0.128727	1.08543	1.1946	6.27083	
20.134	10.4819	6.36604	1.42959	0.679224	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.0707941	0.128423	1.07973	1.19884	0.220216	
20.1011	10.7891	6.3222	1.54707	1.11109	19.6774	10.803	20.1271	10.6247	0.845742	4.77652	0.0704745	0.12885	1.07643	1.20294	1.7905	
20.2259	10.967	5.29258	1.41909	0.357813	20.371	11.0109	20.1663	10.864	0.722256	4.7934	0.0703708	0.12861	1.0709	1.19756	1.75377	
20.1926	11.3198	6.25053	1.5344	0.742798	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	0.0700142	0.129793	1.06608	1.20027	3.85586	
20.3067	11.4154	4.79488	1.32842	-0.392379	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0701285	0.12933	1.06287	1.1943	0.863884	
20.2305	11.6657	4.49745	1.52504	0.817584	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	0.0697956	0.128929	1.05764	1.18878	6.7358	
20.3858	11.8178	4.03747	1.30148	-0.367267	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0.0705534	0.128292	1.05581	1.18656	4.46201	
20.4005	12.023	4.65369	1.29644	-0.506599	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	0.0714111	0.127744	1.05696	1.18124	2.0868	
20.3222	12.4173	5.77613	1.58623	0.872875	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.0712482	0.127555	1.05183	1.17918	0.909416	
20.2597	12.6714	5.63642	1.69377	1.13713	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	0.0709069	0.127477	1.04805	1.17592	1.1505	
20.341	12.8352	4.60226	1.59014	0.649132	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0.071077	0.126934	1.04323	1.1705	2.00451	
20.3726	13.005	4.21477	1.52925	0.129451	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	0.0719694	0.126365	1.03989	1.16639	1.81561	
20.2984	13.2205	4.3212	1.58907	0.306028	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0.072115	0.125879	1.036	1.16181	0.829659	
20.2621	13.4374	4.65011	1.59663	0.0921252	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0.0721952	0.125505	1.03257	1.15648	1.18872	
20.2125	13.7773	5.51414	1.68718	0.490455	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.0721541	0.124953	1.02793	1.15327	1.64938	
20.1626	13.9971	5.05541	1.74077	0.770019	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.0720603	0.124387	1.02328	1.14828	0.675713	
20.0782	14.2888	5.48248	1.81175	0.910036	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.0717779	0.123982	1.01894	1.14465	0.279773	
19.9871	14.5334	5.56902	1.83222	0.564852	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0.0714618	0.123636	1.01467	1.14154	1.33614	
19.8494	14.8106	5.82548	1.89408	0.667764	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.0715885	0.123612	1.01147	1.1396	0.373705	
19.7883	15.0025	5.20086	1.84997	0.0755432	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	0.0716392	0.12331	1.00702	1.13524	3.14756	
19.8446	15.1331	4.0688	1.75639	-0.234596	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	0.0715038	0.122781	1.00544	1.13145	2.37719	
19.8119	15.2526	2.4728	1.85697	1.03113	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	0.0718221	0.122777	1.00523	1.14379	1.47003	
19.7694	15.4291	2.9013	1.93026	1.20966	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	0.0727867	0.123255	1.00352	1.15017	2.08638	
19.755	15.5295	3.03065	1.77159	-0.338003	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	0.0753834	0.125616	1.00659	1.15285	1.07951	
19.5295	15.9363	5.46959	2.01199	0.700679	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0756099	0.125441	1.00272	1.1493	1.672	
19.4112	16.1516	5.41948	1.99208	0.205411	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0.0756979	0.125273	0.998543	1.14608	1.04406	
19.3007	16.3346	5.00254	1.99218	0.145566	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.0757879	0.125342	0.994627	1.14174	0.469696	
19.1982	16.5179	4.47538	2.07199	0.921239	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.0760183	0.125662	0.990782	1.13726	0.337611	
18.9997	16.794	5.34927	2.17893	1.23309	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0757396	0.125414	0.988001	1.13294	0.266568	
18.821	17.0417	5.72112	2.28534	1.70567	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	0.0754716	0.124974	0.989257	1.12868	2.98665	
18.5784	17.3168	6.36115	2.37103	1.66267	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	0.0761444	0.124503	0.998925	1.12497	0.393144	
18.4595	17.5115	5.1785	2.18613	-0.999904	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	0.0765388	0.124035	0.995051	1.12094	2.29715	
18.2811	17.6918	4.93936	2.15206	-1.03823	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	0.0773866	0.123556	0.991329	1.11691	2.8219	
18.1752	17.8271	4.1255	2.1755	-0.33666	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0.0776532	0.12311	0.989367	1.11289	0.720442	
18.1059	17.9733	3.74887	2.1171	-0.587691	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.0773735	0.122796	0.99113	1.10921	0.913503	
18.0141	18.0525	2.48757	2.23092	0.824209	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	0.0771854	0.12325	0.998724	1.11355	1.88398	
17.8878	18.1796	2.90438	2.30468	1.00119	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0.0772498	0.124272	1.00232	1.11505	0.130144	
17.8657	18.2609	2.35468	2.25222	0.486888	18.8558	18.1365	17.6334	18.5697	-3.43247	3.35973	0.0795686	0.126684	1.01283	1.11878	5.60098	
17.4934	18.6431	5.64922	2.31944	0.330018	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.0793235	0.12646	1.0094	1.11714	2.91929	
17.325	18.7707	5.02404	2.43275	1.05891	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0.0791182	0.126453	1.00578	1.113	1.73377	
17.1656	18.8931	4.64431	2.4789	1.02956	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.0790374	0.126724	1.00205	1.10902	0.0343057	
16.9989	19.0597	4.60287	2.44632	0.254499	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	0.0791043	0.126854	0.998586	1.10494	3.07163	
16.7474	19.2158	5.01634	2.47139	0.223545	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	0.0788494	0.1269	0.994952	1.10111	3.11444	
16.5223	19.402	5.49684	2.54995	1.06441	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	0.0785635	0.126658	0.992754	1.09742	3.16073	
16.2398	19.596	6.03403	2.599	1.07158	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.0786226	0.126225	0.993991	1.09417	0.0779121	
16.0327	19.6654	5.16236	2.64775	0.714311	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	0.0787175	0.125999	0.991192	1.09029	10.1719	
15.8495	19.7887	4.88912	2.68556	0.781716	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.0786475	0.125781	0.987866	1.08667	0.669295	
15.6979	19.8661	3.92662	2.64582	-0.191185	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	0.0783749	0.125823	0.986489	1.0835	1.91633	
15.4149	20.091	5.16269	2.55374	-0.609491	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0.0783915	0.125394	0.983035	1.0811	0.789432	
15.1704	20.2517	5.53571	2.66451	0.922277	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	0.0786499	0.124988	0.98078	1.07799	5.42334	
15.0745	20.3206	4.21418	2.68976	0.753362	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0.0783859	0.124556	0.978702	1.07432	1.91813	
14.8614	20.3902	4.37386	2.76888	1.04716	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	0.0781371	0.124148	0.975853	1.07087	2.11456	
